,Unnamed: 0,Code,2012/13,income_decile,postcode,overcrowding,lat,long,deprivation_y
1624,1521,E01001521,59000,8,N14 6AW,7,51.631440000000005,-0.123228,9
1625,4095,E01004065,58970,8,SE154BF,7,51.464871,-0.072742,4
1626,883,E01000882,94960,10,NW3 4DP,7,51.547854,-0.172708,9
1627,4400,E01004343,46460,5,E17 4EH,7,51.596751,-0.00515,5
1628,1061,E01001061,43930,4,CR0 9JH,7,51.347456,-0.044716000000000006,4
1629,4111,E01032640,74260,10,SE1 2LF,7,51.503425,-0.07564,9
1630,2638,E01002618,48300,6,TW5 0AH,7,51.479183,-0.381763,6
1631,184,E01000184,44760,4,N10 1JW,7,51.605326,-0.157653,2
1632,4821,E01033595,89000,10,W1A 1DA,7,51.510465,-0.13961800000000002,4
1633,1577,E01001573,45040,4,SE2 0BP,7,51.487165999999995,0.10848,6
1634,3750,E01003713,43660,4,IG3 9LH,7,51.561823,0.104054,5
1635,3681,E01003642,44510,4,IG2 7JH,7,51.580036,0.09536900000000001,5
1636,1645,E01001650,43030,3,SE3 8UN,7,51.474864000000004,0.035162,3
1637,4191,E01004149,44830,4,SM1 1SQ,7,51.37283,-0.194053,7
1638,224,E01000224,49750,6,NW2 1BL,7,51.567149,-0.214024,5
1639,2789,E01002769,64370,9,N15 3XF,7,51.560815999999996,-0.13128800000000002,5
1640,68,E01000070,47920,5,IG118FF,7,51.548687,0.091851,5
1641,874,E01000873,81360,10,NW2 3SL,7,51.552544,-0.202512,8
1642,2567,E01002549,42880,3,UB8 3BN,7,51.524893,-0.451845,4
1643,3395,E01003361,58640,8,SM4 4AG,7,51.40248,-0.20581,8
1644,2646,E01002626,42540,3,TW5 0DA,7,51.490328999999996,-0.37292800000000004,5
1645,2476,E01002453,46880,5,UB100SQ,7,51.539755,-0.448312,8
1646,2418,E01002395,42340,3,UB4 0BP,7,51.524962,-0.40467600000000004,5
1647,4368,E01032772,52730,7,E14 8FA,7,51.499753000000005,-0.023424,2
1648,2904,E01002875,120250,10,W11 2HH,7,51.510078,-0.208921,6
1649,3738,E01003701,45750,5,IG6 1LT,7,51.587402000000004,0.086714,5
1650,1637,E01001641,57340,8,SE108BH,7,51.479428999999996,-0.010694,5
1651,3307,E01003279,51820,7,SE137AA,7,51.460568,-0.016909999999999998,5
1652,370,E01000368,39460,2,DA7 6QP,7,51.469081,0.171128,3
1653,4695,E01004642,51700,7,SW155AD,7,51.460029999999996,-0.237671,4
1654,2447,E01002424,44890,4,UB4 8BG,7,51.530256,-0.419758,7
1655,1565,E01001566,58310,8,N13 4AB,7,51.621464,-0.108991,6
1656,2506,E01002483,50620,6,HA5 3TR,7,51.600934,-0.402477,9
1657,4576,E01004520,51440,7,SW166QL,7,51.421769,-0.14970799999999998,5
1658,2040,E01002020,64520,9,N10 1PD,7,51.591390000000004,-0.1392,4
1659,3235,E01003204,53440,7,SE108AA,7,51.472256,-0.012487,4
1660,1445,E01001444,40920,3,EN3 6JU,7,51.678561,-0.03267,4
1661,4179,E01004137,46090,5,SM1 1NL,7,51.365278,-0.19362100000000002,5
1662,720,E01000720,38110,1,BR5 3LN,7,51.394776,0.122744,1
1663,478,E01000476,40970,3,HA0 1GA,7,51.539685999999996,-0.286955,4
1664,3431,E01003397,48200,6,CR4 2BB,7,51.41829,-0.15432200000000001,6
1665,4438,E01004381,49570,6,E17 4EA,7,51.599304,-0.002875,5
1666,2199,E01002177,47250,5,HA3 8FH,7,51.598003000000006,-0.31546399999999997,7
1667,2372,E01002350,43580,4,RM1 1QA,7,51.573063,0.18446400000000002,3
1668,3237,E01003206,56070,8,SE137DX,7,51.465790999999996,-0.006202,7
1669,4697,E01004644,55190,8,SW153AF,7,51.453676,-0.233165,5
1670,3883,E01003842,49250,6,TW2 6EA,7,51.446067,-0.367651,5
1671,2333,E01002311,38590,2,RM3 7AL,7,51.597999,0.20358199999999999,3
